order_id,payment_method,payment_status,shipping_charge
1,Credit Card,Paid,15.88
2,UPI,Paid,72.38
3,Debit Card,Paid,60.97
4,Net Banking,Paid,106.23
5,Cash on Delivery,Failed,0.0
6,Wallet,Paid,132.08
7,UPI,Paid,14.94
8,Cash on Delivery,Paid,120.11
9,Debit Card,Paid,51.53
10,UPI,Paid,234.58
11,Net Banking,Paid,120.35
12,Wallet,Paid,25.97
13,Net Banking,Paid,199.61
14,Net Banking,Paid,24.33
15,Cash on Delivery,Failed,0.0
16,Wallet,Paid,131.13
17,Credit Card,Paid,82.67
18,UPI,Paid,101.64
19,UPI,Paid,35.7
20,Cash on Delivery,Paid,164.14
21,Wallet,Paid,18.03
22,Debit Card,Failed,0.0
23,Wallet,Paid,49.04
24,UPI,Paid,46.17
25,Cash on Delivery,Paid,107.93
26,Debit Card,Failed,0.0
27,Wallet,Failed,0.0
28,Wallet,Pending,0.0
29,Debit Card,Paid,228.88
30,Debit Card,Paid,185.23
31,UPI,Failed,0.0
32,Credit Card,Paid,6.83
33,UPI,Paid,25.77
34,UPI,Failed,0.0
35,Wallet,Paid,147.21
36,UPI,Paid,245.78
37,Credit Card,Paid,51.45
38,Credit Card,Paid,32.18
39,Debit Card,Paid,9.34
40,Credit Card,Failed,0.0
41,Cash on Delivery,Paid,32.62
42,UPI,Paid,93.11
43,UPI,Paid,23.9
44,Cash on Delivery,Paid,189.38
45,UPI,Paid,189.54
46,Debit Card,Paid,52.27
47,Credit Card,Paid,56.96
48,Credit Card,Paid,129.26
49,UPI,Pending,0.0
50,Credit Card,Paid,60.81
51,Debit Card,Paid,208.1
52,Debit Card,Paid,83.31
53,Credit Card,Paid,125.15
54,Debit Card,Paid,152.35
55,Net Banking,Failed,0.0
56,Credit Card,Paid,65.93
57,Net Banking,Paid,48.33
58,UPI,Paid,182.42
59,Debit Card,Paid,61.88
60,Wallet,Paid,167.51
61,Credit Card,Paid,69.18
62,Wallet,Paid,156.27
63,Net Banking,Paid,207.59
64,UPI,Paid,83.65
65,Net Banking,Paid,245.46
66,Debit Card,Paid,140.68
67,Net Banking,Paid,191.01
68,Credit Card,Paid,92.43
69,Wallet,Paid,127.72
70,Net Banking,Paid,104.12
71,Net Banking,Paid,195.69
72,Credit Card,Paid,101.08
73,Debit Card,Paid,39.81
74,Debit Card,Paid,230.95
75,Wallet,Paid,79.45
76,Credit Card,Paid,140.3
77,Wallet,Paid,231.48
78,Wallet,Paid,220.17
79,Cash on Delivery,Failed,0.0
80,Debit Card,Paid,186.98
81,Credit Card,Paid,219.36
82,Net Banking,Paid,123.46
83,Debit Card,Paid,25.81
84,Credit Card,Paid,160.24
85,Wallet,Paid,233.5
86,Wallet,Pending,0.0
87,Credit Card,Paid,81.0
88,Wallet,Paid,71.65
89,Cash on Delivery,Paid,187.27
90,Credit Card,Failed,0.0
91,UPI,Paid,103.24
92,Wallet,Paid,134.6
93,Net Banking,Paid,147.56
94,Cash on Delivery,Paid,188.01
95,Wallet,Paid,19.29
96,Credit Card,Paid,168.45
97,UPI,Paid,98.41
98,Wallet,Paid,49.18
99,UPI,Paid,61.21
100,Credit Card,Paid,118.5
101,Net Banking,Paid,172.78
102,UPI,Paid,235.75
103,Cash on Delivery,Paid,105.9
104,Cash on Delivery,Paid,225.96
105,Credit Card,Paid,96.65
106,Credit Card,Paid,29.46
107,Debit Card,Failed,0.0
108,Credit Card,Paid,148.04
109,Net Banking,Paid,99.22
110,Debit Card,Paid,209.58
111,Wallet,Paid,41.11
112,Debit Card,Paid,86.12
113,Credit Card,Paid,149.46
114,Wallet,Paid,232.69
115,Cash on Delivery,Paid,157.65
116,Credit Card,Paid,98.85
117,Cash on Delivery,Paid,211.62
118,Wallet,Paid,27.46
119,Wallet,Paid,227.76
120,Cash on Delivery,Paid,115.04
121,Net Banking,Paid,247.39
122,Wallet,Paid,222.25
123,Debit Card,Paid,55.17
124,UPI,Paid,238.98
125,Debit Card,Paid,196.32
126,UPI,Paid,100.34
127,Cash on Delivery,Paid,150.41
128,UPI,Paid,190.35
129,Credit Card,Paid,57.91
130,Credit Card,Failed,0.0
131,Wallet,Paid,104.82
132,Credit Card,Paid,239.25
133,UPI,Paid,70.36
134,Cash on Delivery,Paid,199.29
135,Wallet,Paid,15.52
136,Net Banking,Paid,123.41
137,Credit Card,Failed,0.0
138,Debit Card,Paid,227.18
139,Net Banking,Paid,2.61
140,Wallet,Paid,177.59
141,UPI,Paid,192.91
142,Debit Card,Paid,164.04
143,UPI,Pending,0.0
144,Cash on Delivery,Paid,207.7
145,Net Banking,Paid,231.46
146,Cash on Delivery,Paid,249.81
147,UPI,Paid,219.04
148,Credit Card,Paid,72.99
149,Credit Card,Paid,64.45
150,Debit Card,Pending,0.0
151,Debit Card,Paid,222.04
152,Credit Card,Failed,0.0
153,UPI,Paid,106.37
154,Cash on Delivery,Paid,246.09
155,Cash on Delivery,Paid,24.92
156,Net Banking,Pending,0.0
157,Debit Card,Paid,196.8
158,UPI,Failed,0.0
159,UPI,Paid,197.68
160,UPI,Failed,0.0
161,Credit Card,Paid,195.67
162,Wallet,Paid,77.36
163,UPI,Paid,249.09
164,Net Banking,Paid,167.25
165,Cash on Delivery,Paid,138.91
166,Debit Card,Paid,23.0
167,Cash on Delivery,Paid,114.84
168,Debit Card,Paid,34.18
169,Wallet,Paid,18.77
170,Credit Card,Pending,0.0
171,Net Banking,Failed,0.0
172,Debit Card,Paid,122.71
173,Net Banking,Paid,46.88
174,Cash on Delivery,Paid,197.15
175,Wallet,Paid,124.83
176,UPI,Paid,164.41
177,Cash on Delivery,Paid,249.69
178,Wallet,Paid,37.94
179,UPI,Paid,19.03
180,Debit Card,Paid,54.45
181,Cash on Delivery,Paid,165.86
182,Credit Card,Failed,0.0
183,Net Banking,Paid,136.97
184,Debit Card,Paid,41.81
185,Wallet,Paid,124.21
186,UPI,Paid,0.5
187,Debit Card,Paid,121.64
188,Wallet,Paid,116.64
189,Wallet,Paid,153.4
190,Debit Card,Paid,106.48
191,Cash on Delivery,Paid,142.55
192,Credit Card,Pending,0.0
193,UPI,Failed,0.0
194,Cash on Delivery,Paid,247.6
195,Debit Card,Paid,108.17
196,Wallet,Paid,229.25
197,Debit Card,Paid,194.57
198,Credit Card,Paid,212.93
199,Wallet,Paid,181.1
200,Net Banking,Paid,101.05
201,Debit Card,Paid,101.27
202,Net Banking,Paid,218.49
203,Wallet,Paid,10.71
204,Wallet,Paid,230.25
205,Credit Card,Paid,1.27
206,Cash on Delivery,Paid,162.07
207,Credit Card,Failed,0.0
208,Wallet,Paid,127.99
209,UPI,Paid,219.24
210,Wallet,Paid,245.12
211,Cash on Delivery,Paid,149.88
212,Wallet,Failed,0.0
213,UPI,Paid,121.47
214,UPI,Paid,117.93
215,Cash on Delivery,Paid,180.03
216,Wallet,Paid,40.33
217,Cash on Delivery,Paid,37.02
218,Credit Card,Paid,70.98
219,Net Banking,Paid,81.69
220,Credit Card,Paid,89.48
221,Cash on Delivery,Paid,74.29
222,UPI,Paid,9.75
223,Debit Card,Paid,113.09
224,Credit Card,Paid,93.26
225,Wallet,Paid,28.87
226,Wallet,Paid,7.43
227,Debit Card,Paid,48.56
228,Net Banking,Failed,0.0
229,Credit Card,Pending,0.0
230,Cash on Delivery,Paid,148.01
231,UPI,Pending,0.0
232,Net Banking,Failed,0.0
233,Wallet,Paid,175.05
234,Net Banking,Paid,139.13
235,Net Banking,Paid,131.05
236,Cash on Delivery,Paid,4.3
237,Debit Card,Paid,25.58
238,Wallet,Paid,235.81
239,UPI,Paid,153.32
240,Credit Card,Paid,196.66
241,UPI,Paid,232.46
242,Debit Card,Failed,0.0
