order_id,customer_id,order_date,order_status,sales_channel
1,355,2025-06-23 05:31:00,Delivered,Mobile App
2,41,2025-02-12 23:27:00,Delivered,Website
3,53,2025-10-07 09:20:00,Delivered,Mobile App
4,368,2025-06-06 14:38:00,Delivered,Mobile App
5,373,2025-06-29 14:02:00,Cancelled,Mobile App
6,328,2025-11-11 13:17:00,Returned,Website
7,208,2025-02-08 21:40:00,Delivered,Website
8,312,2025-01-16 04:54:00,Shipped,Mobile App
9,121,2025-01-18 04:04:00,Processing,Mobile App
10,17,2025-07-05 12:36:00,Delivered,Mobile App
11,391,2025-07-09 11:28:00,Delivered,Website
12,161,2025-09-29 11:25:00,Delivered,Website
13,96,2025-02-28 00:47:00,Delivered,Mobile App
14,397,2025-10-15 03:16:00,Delivered,Mobile App
15,356,2025-04-20 19:18:00,Cancelled,Mobile App
16,437,2025-04-13 03:08:00,Delivered,Website
17,350,2025-08-16 02:51:00,Returned,Mobile App
18,34,2025-12-08 11:45:00,Delivered,Mobile App
19,364,2025-06-03 05:45:00,Returned,Website
20,63,2025-07-05 16:14:00,Returned,Website
21,185,2025-05-02 15:01:00,Delivered,Mobile App
22,314,2025-08-28 17:08:00,Cancelled,Website
23,369,2025-06-08 12:45:00,Delivered,Mobile App
24,65,2025-07-29 18:04:00,Returned,Website
25,265,2025-08-19 14:43:00,Delivered,Website
26,467,2025-03-08 13:32:00,Cancelled,Website
27,85,2025-09-23 04:19:00,Delivered,Website
28,146,2025-06-27 16:57:00,Processing,Mobile App
29,141,2025-04-11 20:35:00,Delivered,Mobile App
30,258,2025-11-11 17:05:00,Delivered,Website
31,369,2025-03-29 21:39:00,Cancelled,Mobile App
32,443,2025-10-16 01:52:00,Delivered,Website
33,334,2025-11-25 18:16:00,Delivered,Mobile App
34,255,2025-11-13 20:01:00,Cancelled,Mobile App
35,126,2025-11-25 09:30:00,Processing,Mobile App
36,353,2025-06-02 14:04:00,Delivered,Mobile App
37,105,2025-08-01 15:29:00,Delivered,Website
38,376,2025-06-10 22:20:00,Returned,Mobile App
39,190,2025-07-24 04:48:00,Delivered,Website
40,63,2025-06-13 07:29:00,Delivered,Website
41,149,2025-03-14 03:03:00,Returned,Mobile App
42,168,2025-05-08 05:52:00,Returned,Mobile App
43,264,2025-04-08 05:31:00,Delivered,Mobile App
44,484,2025-09-12 00:05:00,Delivered,Mobile App
45,181,2025-05-04 06:37:00,Delivered,Mobile App
46,432,2025-09-11 19:56:00,Shipped,Mobile App
47,434,2025-05-27 17:00:00,Delivered,Website
48,392,2025-05-16 23:23:00,Delivered,Website
49,288,2025-07-25 01:36:00,Delivered,Mobile App
50,231,2025-02-07 12:32:00,Shipped,Mobile App
51,61,2025-11-16 21:39:00,Delivered,Website
52,174,2025-07-21 11:50:00,Delivered,Mobile App
53,261,2025-03-15 06:38:00,Delivered,Website
54,366,2025-01-24 01:08:00,Delivered,Mobile App
55,311,2025-09-23 14:09:00,Cancelled,Website
56,84,2025-06-17 19:20:00,Delivered,Mobile App
57,425,2025-10-31 10:32:00,Delivered,Mobile App
58,244,2025-12-29 18:19:00,Processing,Mobile App
59,214,2025-06-19 21:07:00,Delivered,Website
60,496,2025-11-02 15:16:00,Shipped,Website
61,88,2025-01-27 18:30:00,Delivered,Mobile App
62,17,2025-03-17 21:15:00,Delivered,Website
63,161,2025-04-08 00:28:00,Delivered,Mobile App
64,257,2025-12-20 06:26:00,Processing,Mobile App
65,266,2025-02-01 22:08:00,Delivered,Mobile App
66,193,2025-12-06 15:33:00,Delivered,Website
67,280,2025-08-24 17:21:00,Delivered,Mobile App
68,491,2025-11-09 15:12:00,Delivered,Mobile App
69,148,2025-04-26 09:49:00,Shipped,Mobile App
70,287,2025-06-12 15:22:00,Returned,Mobile App
71,347,2025-05-28 03:36:00,Delivered,Mobile App
72,22,2025-06-26 04:18:00,Delivered,Website
73,132,2025-06-27 14:41:00,Shipped,Website
74,478,2025-04-14 17:17:00,Delivered,Mobile App
75,380,2025-03-12 03:39:00,Delivered,Website
76,272,2025-01-26 21:57:00,Delivered,Website
77,170,2025-01-27 03:26:00,Shipped,Website
78,494,2025-12-15 04:00:00,Delivered,Website
79,451,2025-07-28 20:59:00,Cancelled,Mobile App
80,494,2025-11-30 06:48:00,Delivered,Mobile App
81,394,2025-11-27 01:58:00,Delivered,Website
82,436,2025-10-01 23:46:00,Returned,Website
83,471,2025-08-02 05:59:00,Delivered,Mobile App
84,384,2025-09-11 05:59:00,Returned,Mobile App
85,291,2025-01-20 00:19:00,Delivered,Mobile App
86,279,2025-05-26 14:41:00,Delivered,Website
87,99,2025-09-16 14:17:00,Processing,Mobile App
88,332,2025-03-25 23:29:00,Delivered,Website
89,405,2025-01-08 23:21:00,Delivered,Website
90,328,2025-03-31 19:54:00,Cancelled,Mobile App
91,206,2025-09-21 10:05:00,Shipped,Website
92,480,2025-03-13 15:20:00,Delivered,Mobile App
93,386,2025-07-16 07:28:00,Delivered,Mobile App
94,294,2025-06-04 18:46:00,Delivered,Mobile App
95,342,2025-12-21 07:03:00,Delivered,Mobile App
96,258,2025-03-23 12:43:00,Returned,Mobile App
97,470,2025-12-20 03:40:00,Returned,Mobile App
98,491,2025-11-11 07:14:00,Delivered,Website
99,192,2025-08-21 23:38:00,Delivered,Mobile App
100,112,2025-10-03 21:52:00,Shipped,Website
101,361,2025-09-27 14:33:00,Delivered,Website
102,259,2025-02-01 17:57:00,Delivered,Website
103,267,2025-03-26 10:54:00,Delivered,Website
104,461,2025-10-26 15:05:00,Delivered,Website
105,213,2025-08-21 04:32:00,Delivered,Website
106,414,2025-10-14 14:43:00,Delivered,Website
107,2,2025-07-22 08:52:00,Shipped,Website
108,359,2025-01-24 13:22:00,Delivered,Website
109,147,2025-02-05 15:02:00,Delivered,Website
110,494,2025-11-25 23:41:00,Delivered,Mobile App
111,42,2025-08-18 12:24:00,Shipped,Website
112,92,2025-12-01 11:07:00,Returned,Mobile App
113,115,2025-09-28 04:46:00,Processing,Website
114,369,2025-06-02 14:43:00,Delivered,Mobile App
115,178,2025-04-28 07:29:00,Delivered,Website
116,339,2025-02-27 01:51:00,Delivered,Website
117,52,2025-05-04 06:04:00,Delivered,Mobile App
118,447,2025-11-03 21:45:00,Delivered,Website
119,277,2025-07-25 14:14:00,Delivered,Website
120,120,2025-03-13 16:18:00,Processing,Mobile App
121,345,2025-10-23 19:49:00,Processing,Website
122,267,2025-06-04 04:42:00,Delivered,Mobile App
123,486,2025-05-21 01:35:00,Delivered,Website
124,285,2025-11-17 21:27:00,Delivered,Mobile App
125,403,2025-11-26 21:24:00,Delivered,Mobile App
126,193,2025-07-29 04:19:00,Delivered,Mobile App
127,440,2025-05-04 07:19:00,Shipped,Mobile App
128,496,2025-01-30 17:26:00,Delivered,Website
129,105,2025-07-18 07:16:00,Delivered,Website
130,275,2025-08-19 11:05:00,Shipped,Website
131,345,2025-01-27 08:24:00,Delivered,Website
132,390,2025-02-07 06:51:00,Delivered,Website
133,465,2025-09-03 06:55:00,Delivered,Website
134,61,2025-04-19 06:47:00,Shipped,Mobile App
135,361,2025-05-05 22:38:00,Delivered,Website
136,145,2025-10-10 10:49:00,Delivered,Mobile App
137,263,2025-06-07 08:23:00,Cancelled,Mobile App
138,390,2025-02-20 23:30:00,Processing,Website
139,24,2025-07-09 10:26:00,Delivered,Website
140,284,2025-03-16 00:16:00,Returned,Mobile App
141,169,2025-06-01 04:12:00,Delivered,Website
142,484,2025-09-13 17:41:00,Shipped,Mobile App
143,379,2025-09-08 23:41:00,Delivered,Website
144,369,2025-06-30 05:08:00,Delivered,Website
145,269,2025-10-05 20:03:00,Delivered,Website
146,4,2025-12-09 01:48:00,Delivered,Website
147,5,2025-02-04 22:09:00,Delivered,Mobile App
148,327,2025-07-11 01:39:00,Shipped,Mobile App
149,4,2025-12-04 15:01:00,Delivered,Mobile App
150,370,2025-01-07 00:33:00,Delivered,Mobile App
151,358,2025-01-09 16:52:00,Shipped,Website
152,77,2025-02-24 03:33:00,Delivered,Mobile App
153,204,2025-07-01 08:50:00,Delivered,Mobile App
154,357,2025-08-24 18:15:00,Delivered,Website
155,17,2025-12-01 20:48:00,Delivered,Mobile App
156,29,2025-07-13 17:30:00,Delivered,Website
157,223,2025-02-12 15:54:00,Delivered,Mobile App
158,271,2025-10-17 03:57:00,Cancelled,Website
159,291,2025-04-19 22:56:00,Delivered,Website
160,144,2025-02-08 21:59:00,Cancelled,Website
161,493,2025-04-02 10:01:00,Delivered,Website
162,40,2025-12-31 12:59:00,Delivered,Website
163,460,2025-10-18 12:43:00,Delivered,Mobile App
164,41,2025-03-13 22:46:00,Delivered,Mobile App
165,119,2025-01-28 03:27:00,Processing,Mobile App
166,204,2025-11-06 19:38:00,Returned,Mobile App
167,402,2025-01-16 20:17:00,Returned,Mobile App
168,482,2025-04-27 11:35:00,Delivered,Website
169,195,2025-12-15 18:42:00,Delivered,Mobile App
170,43,2025-05-07 22:04:00,Delivered,Mobile App
171,379,2025-12-31 20:09:00,Delivered,Mobile App
172,483,2025-02-24 02:00:00,Delivered,Mobile App
173,45,2025-05-19 03:08:00,Delivered,Mobile App
174,209,2025-10-13 17:32:00,Delivered,Website
175,306,2025-07-01 17:05:00,Delivered,Mobile App
176,212,2025-07-17 00:18:00,Delivered,Website
177,267,2025-10-14 07:36:00,Delivered,Mobile App
178,155,2025-03-28 04:17:00,Delivered,Website
179,142,2025-02-02 05:27:00,Delivered,Mobile App
180,484,2025-02-09 11:16:00,Delivered,Mobile App
181,235,2025-11-01 19:12:00,Delivered,Mobile App
182,431,2025-01-04 12:21:00,Delivered,Mobile App
183,418,2025-08-14 10:27:00,Processing,Website
184,486,2025-06-03 10:38:00,Shipped,Mobile App
185,496,2025-06-10 05:25:00,Delivered,Mobile App
186,193,2025-10-22 07:20:00,Delivered,Mobile App
187,289,2025-07-06 03:59:00,Delivered,Website
188,488,2025-12-16 17:01:00,Shipped,Website
189,355,2025-08-13 09:53:00,Delivered,Mobile App
190,325,2025-12-11 15:08:00,Delivered,Mobile App
191,217,2025-12-04 04:45:00,Processing,Website
